ProductDesc,MfgOrderName,ProductNameM,SizeGroupM,MO_Qty,edwMESProcessingComplete,edwContainerName,edwEmployeeNumber,edwFactoryName,edwResourceName,Line_Num,ShiftName,edwWorkflowName,TxnDate,OperationId,OpsSequence,OperationName,InRework,edwTxnName,edwTxnTypeName,edwPreTxnContainerQty,edwPostTxnContainerQty,edwFromOperationName,edwToOperationName,edwFromStep_JobStep,edwToStep_JobStep,ReworkReasonName,edwReasonCodeName,TxnId
P,63561179,10039308104,A,10,Y,63561179-8082317,417905,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 17:25,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002fe4b4
P,63561179,10039308104,A,10,Y,63561179-8082317,417905,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 17:38,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002fe5f1
P,63561179,10039308104,A,10,Y,63561179-8082318,417905,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 17:39,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002fe5fa
P,63561179,10039308104,A,10,Y,63561179-8082318,417905,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 17:50,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002fe76c
P,63561179,10039308104,A,10,Y,63561179-8082322,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 18:50,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002fe9e6
P,63561179,10039308104,A,10,Y,63561179-8082322,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:05,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move Std,,1,1,,,,,,,20000000002feb47
P,63561179,10039308104,A,10,Y,63561179-8082320,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:07,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002feb81
P,63561179,10039308104,A,10,Y,63561179-8082320,418418,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:17,00060e40000005d7,24,24-DOC-0142972_OP,N,Hold,,1,1,,,,,,,20000000002fec5f
P,63561179,10039308104,A,10,Y,63561179-8082320,417819,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:19,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002feca3
P,63561179,10039308104,A,10,Y,63561179-8082319,417819,SNG01                         ,DOC-0142972_WS04A,4,Shift 2,DOC-0143161_WF,12/29/2020 19:25,00060e40000005d7,24,24-DOC-0142972_OP,N,edw Move In,,1,1,,,,,,,20000000002fed11
